@relation SelectedFeatures_excel

@attribute C {C1,C2,C3,C4,C5,C6,C7,C8}
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric

@data
C1,0.70291,0.515399,0.957704,0.491598,0.818937,0.924303,0.739881,0.622931,0.596681,0.70291,0.731085,0.893083,0.534797,0.7478,0.878479,0.854214,0.907049,0.293356,0.36152,0.849027,0.11438,0.022818,0.104889,0.002776,0.001224,0.001929,0.618323,0.183768,0.618323,0.183768,0.452302,0.43459,0.518418,0.490089,0.508671,0.586388,0.415457,0.253399,0.531212,0.353745,0.503503,0.369243,0.389804,0.258977,0.165628,0.085905,0.488008,0.191998,0.422735,0.211611,0.281547,0.433048,0.105592,0.645938,0.421171,0.799109,0.348084,0.504162
C1,0.488616,0.621879,0.83698,0.232867,0.410842,0.457059,0.670042,0.802843,0.340479,0.488616,0.526515,0.939565,0.515444,0.453461,0.885576,0.564299,0.728548,0.272025,0.336206,0.787957,0.486894,0.597256,0.059598,0.002044,0.001216,0.000144,0.806153,0.458522,0.806153,0.458522,0.221375,0.251242,0.294865,0.245645,0.182204,0.280925,0.15537,0.106209,0.332142,0.134275,0.340097,0.122921,0.226557,0.135506,0.057518,0.023207,0.15012,0.078274,0.299591,0.170586,0.115718,0.269355,0.159291,0.666232,0.542857,0.5273,0.576431,0.853361
C1,0.534303,0.801951,0.546912,0.440824,0.780604,0.649295,0.750934,0.787361,0.469421,0.534303,0.730657,0.69975,0.835066,0.465698,0.510696,0.508953,0.828254,0.228369,0.283053,0.730681,0.402953,0.611462,0.060771,0.000406,0.000382,0.000032,0.714622,0.080095,0.714622,0.080095,0.308591,0.331131,0.382178,0.435167,0.420132,0.517493,0.376073,0.39533,0.419073,0.303389,0.639583,0.407396,0.473621,0.221528,0.146843,0.188848,0.261639,0.166361,0.348307,0.265342,0.2134,0.446004,0.223999,0.436527,0.579308,0.605303,0.583354,0.649991
C1,0.485411,0.651467,0.720558,0.527899,0.967633,0.952929,0.628484,0.986722,0.617602,0.485411,0.904165,0.599057,0.727215,0.533043,0.663239,0.702067,0.834638,0.236765,0.2925,0.86849,0.167256,0.606727,0.067081,0.000128,0.000022,0.000197,0.626677,0.019152,0.626677,0.019152,0.411592,0.424518,0.499667,0.584364,0.587141,0.728829,0.536616,0.243838,0.54408,0.439942,0.607142,0.607468,0.400867,0.28278,0.255384,0.18065,0.335778,0.215943,0.426091,0.225789,0.288478,0.526082,0.096591,0.509044,0.615765,0.65723,0.43054,0.731112
C1,0.372413,0.68877,0.564632,0.441094,0.708627,0.69397,0.494396,0.617071,0.4451,0.372413,0.72229,0.498712,0.666375,0.364151,0.649324,0.448801,0.610341,0.199705,0.270365,0.667707,0.340083,0.559379,0.056453,0.000208,0.000203,0.000072,0.689352,0.045335,0.689352,0.045335,0.287221,0.340059,0.346169,0.465102,0.415201,0.479898,0.376834,0.218448,0.382718,0.299843,0.335559,0.41414,0.249794,0.226812,0.194989,0.25017,0.26034,0.186958,0.360834,0.188014,0.294857,0.575731,0.164239,0.431677,0.580104,0.680162,0.347771,0.609441
C1,0.516336,0.697955,0.652905,0.31694,0.459487,0.435894,0.846825,0.643166,0.39171,0.516336,0.511761,0.712213,0.618269,0.439177,0.734934,0.415994,0.614673,0.239677,0.266341,0.670232,0.511093,0.649349,0.057876,0.000067,0.001438,0.000038,0.775257,0.015283,0.775257,0.015283,0.229319,0.246583,0.283426,0.190184,0.205877,0.306245,0.20734,0.246093,0.300621,0.165501,0.42717,0.193261,0.404452,0.181081,0.100994,0.087842,0.226422,0.116672,0.315897,0.226953,0.179263,0.33161,0.159495,0.583709,0.564652,0.592299,0.534245,0.755444
C1,0.457433,0.760413,0.625048,0.297419,0.526447,0.479,0.697761,0.810618,0.376158,0.457433,0.615284,0.685776,0.668539,0.369721,0.725893,0.420123,0.59815,0.254035,0.289999,0.722662,0.53426,0.663558,0.074955,0.000017,0.011738,0.000153,0.831725,0.002629,0.831725,0.002629,0.197194,0.230324,0.260029,0.214205,0.15566,0.221675,0.129425,0.214822,0.276735,0.112982,0.31514,0.111719,0.241967,0.125879,0.049217,0.022533,0.182931,0.076305,0.241428,0.167439,0.187349,0.252591,0.204756,0.64045,0.495142,0.514954,0.599742,0.824295
C1,0.76436,0.80895,0.827642,0.672205,0.980647,0.998962,0.859871,0.946304,0.783851,0.76436,0.661532,0.796548,0.618301,0.950564,0.757217,0.886165,0.904664,0.306309,0.324813,0.982138,0.000002,0.701452,0.060958,0.000341,0.000129,0.000011,0.693388,0.065404,0.693388,0.065404,0.533095,0.530553,0.581581,0.589435,0.567386,0.607067,0.49023,0.281947,0.526539,0.451524,0.518738,0.505011,0.472981,0.287145,0.185603,0.201306,0.391017,0.23949,0.446273,0.181668,0.331445,0.586155,0.097983,0.450807,0.448701,0.832201,0.399434,0.463425
C1,0.370773,0.482026,0.463964,0.328365,0.505796,0.544962,0.588557,0.52265,0.374859,0.370773,0.507497,0.492048,0.555873,0.342762,0.437751,0.37248,0.490298,0.171453,0.200657,0.5828,0.558516,0.41744,0.033554,0.000011,0.000379,0.000221,0.810823,0.006749,0.810823,0.006749,0.149285,0.236823,0.191404,0.2824,0.286458,0.296862,0.254043,0.200868,0.257588,0.199335,0.383366,0.274528,0.252472,0.1826,0.177539,0.125392,0.204755,0.161987,0.222478,0.266019,0.185399,0.583202,0.217518,0.299215,0.736014,0.633122,0.254932,0.610827
C1,0.441711,0.668373,0.545439,0.323703,0.449008,0.448925,0.715799,0.617005,0.370794,0.441711,0.508756,0.664108,0.575879,0.385803,0.639292,0.391746,0.614347,0.214371,0.236579,0.668919,0.626072,0.649348,0.0416,0.000006,0.0005,0.000005,0.825875,0.002465,0.825875,0.002465,0.183885,0.206426,0.23384,0.245623,0.213081,0.291287,0.212144,0.2575,0.229539,0.171977,0.286156,0.21057,0.261488,0.184299,0.148254,0.109883,0.160689,0.13688,0.218476,0.260231,0.152842,0.446023,0.248504,0.409445,0.613619,0.547324,0.585372,0.716842
