@relation SelectedFeatures_excel

@attribute C {C1,C2,C3,C4,C5,C6,C7,C8}
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric

@data
C2,0.415622,0.28979,0.065765,0.431145,0.731797,0.162118,0.65096,0.315711,0.205456,0.415622,0.375928,0.096167,0.413572,0.251821,0.137069,0.10359,0.295602,0.216496,0.347291,0.154083,0.795059,0.464731,0.06559,0.002702,0.001786,0.001461,0.494321,0.363005,0.494321,0.363005,0.147013,0.214019,0.297122,0.033699,0.015117,0.20116,0.11641,0.154779,0.382293,0.104062,0.220231,0.129986,0.600939,0.233605,0.25286,0.171181,0.063002,0.122753,0.410664,0.163026,0.185812,0.126374,0.760337,0.306269,0.646123,0.218813,0.830761,0.438793
C2,0.25277,0.220939,0.244912,0.164805,0.215019,0.19701,0.51401,0.064217,0.166761,0.25277,0.147277,0.336394,0.195115,0.244889,0.255539,0.240149,0.31954,0.121235,0.268928,0.29248,0.810653,0.398533,0.074457,0.000351,0.011049,0.000678,0.434073,0.034942,0.434073,0.034942,0.083655,0.222794,0.141417,0.084563,0.070971,0.172574,0.118954,0.128289,0.241887,0.084528,0.202688,0.115871,0.319346,0.171916,0.395302,0.274319,0.139354,0.119622,0.355377,0.259444,0.283531,0.28125,0.55956,0.335498,0.723834,0.384774,0.490421,0.490309
C2,0.301096,0.523299,0.19596,0.227571,0.401518,0.119786,0.885855,0.332657,0.123158,0.301096,0.445607,0.320064,0.596317,0.19143,0.364448,0.172491,0.247965,0.110201,0.178706,0.3941,0.850264,0.441083,0.02409,0.000234,0.000161,0.000029,0.626692,0.189868,0.626692,0.189868,0.018785,0.023722,0.079359,0.12782,0.079347,0.161667,0.080197,0.233709,0.021903,0.056813,0.527478,0.093244,0.028915,0.141578,0.214693,0.246406,0.02226,0.086204,0.123758,0.430728,0.040344,0.222406,1,0.644402,0.247318,0,0.928085,0.57897
C2,0.219417,0.237652,0.100764,0.247121,0.294707,0.139523,0.445792,0.153559,0.178803,0.219417,0.185473,0.178159,0.325649,0.160831,0.157158,0.140195,0.159597,0.122828,0.176698,0.205591,0.832729,0.488388,0.026447,0.000084,0.000054,0.000065,0.486547,0.050328,0.486547,0.050328,0.077333,0.243624,0.163072,0.055589,0.024845,0.147747,0.073476,0.334428,0.374841,0.054746,0.230049,0.073991,0.459142,0.1256,0.187667,0.186948,0.02461,0.060343,0.516145,0.21142,0.160341,0.087202,0.566222,0.359575,0.76616,0.263061,0.649393,0.832511
C2,0.20892,0.239191,0.10641,0.234201,0.303276,0.221839,0.452464,0.060376,0.212622,0.20892,0.179791,0.176551,0.313494,0.147247,0.152977,0.13942,0.229646,0.12007,0.175566,0.217871,0.833324,0.488095,0.024869,0.00008,0.000076,0.000004,0.488004,0.052374,0.488004,0.052374,0.077814,0.227278,0.1623,0.056142,0.02726,0.149558,0.07463,0.335695,0.289353,0.054271,0.226244,0.074531,0.467816,0.122926,0.1906,0.189088,0.050415,0.059281,0.389478,0.209009,0.196462,0.091232,0.562883,0.351411,0.788814,0.267854,0.68019,0.825689
C2,0.304615,0.036145,0.341791,0.175216,0.17506,0.23634,0.481137,0.232386,0.246651,0.304615,0.072792,0.294683,0.038639,0.314601,0.313392,0.516104,0.258683,0.189957,0.316046,0.332335,0.586772,0.474193,0.05182,0.001046,0.000173,0.000101,0.337742,0.174042,0.337742,0.174042,0.15814,0.259442,0.289547,0.152227,0.137891,0.338245,0.239661,0.124486,0.420409,0.170374,0.251805,0.216115,0.510761,0.307998,0.43619,0.213452,0.108457,0.184059,0.584019,0.299198,0.22978,0.222713,0.695468,0.321942,0.611789,0.348041,0.693839,0.092883
C2,0.121198,0.055038,0.0452,0.160631,0.116717,0.061476,0.19305,0.203702,0.201145,0.121198,0.077794,0.16655,0.096657,0.237854,0,0.22852,0.199899,0.105729,0.219771,0.116891,0.66724,0.107399,0.074362,0.000205,0.000225,0.00006,0.233316,0.015577,0.233316,0.015577,0.153247,0.584,0.28999,0.167656,0.125538,0.446849,0.270778,0.321544,0.296754,0.184601,0.384218,0.249421,0.289116,0.331981,0.561359,0.413075,0.307427,0.197953,0.306874,0.328441,0.410128,0.202269,0.589569,0.398503,0.741424,0.281666,0.15855,0.733769
C2,0.154681,0.053297,0.076605,0.207458,0.128869,0.122613,0.30922,0.247468,0.250131,0.154681,0.11658,0.131164,0.098547,0.336952,0.01687,0.227879,0.244618,0.058168,0.115694,0.132641,0.622209,0.639771,0.070174,0.000136,0.000709,0.000325,0.206865,0.011079,0.206865,0.011079,0.217897,0.466484,0.364028,0.268517,0.192252,0.46991,0.288525,0.542713,0.280045,0.215168,0.371885,0.294862,0.264315,0.35273,0.516506,0.318031,0.318236,0.21083,0.356728,0.320555,0.459515,0.175957,0.50534,0.489545,0.773504,0.342346,0.096292,0.73758
C2,0.308545,0.037989,0.310261,0.098468,0.07082,0.284496,0.483873,0.283671,0.236926,0.308545,0.074459,0.390877,0.037517,0.301602,0.292447,0.436054,0.328522,0.187284,0.319213,0.340287,0.809822,0.506712,0.050245,0.001294,0.000399,0.000795,0.498177,0.277873,0.498177,0.277873,0.098223,0.215277,0.184187,0.036563,0.021388,0.158446,0.094196,0.11484,0.38188,0.082619,0.195969,0.088626,0.422471,0.217499,0.305541,0.139391,0.03842,0.118244,0.498348,0.230248,0.182697,0.18705,0.62651,0.291003,0.660603,0.35913,0.648011,0.361919
C2,0.332918,0.35236,0.085983,0.216084,0.294583,0.000506,0.690587,0.224749,0.069129,0.332918,0.188028,0.203606,0.424866,0.139805,0.202814,0.060639,0.543503,0.173903,0.262709,0.113393,0.992486,0.511565,0.155703,0.001036,0.37953,0.04377,0.304793,0.022196,0.304793,0.022196,0.071983,0.02314,0.230182,0.332948,0.168062,0.375355,0.160917,0.530867,0.009546,0.158176,0.341057,0.247639,0.05682,0.3714,0.314066,0.569578,0.010748,0.190579,0.0785,0.239252,0.065358,0.114676,0.948913,0.872059,0.43751,0.008164,0.996628,0.860782
C2,0.347244,0.303839,0.123846,0.303091,0.505244,0.193285,0.695063,0.259621,0.191366,0.347244,0.251165,0.234743,0.431341,0.196591,0.245625,0.108173,0.372202,0.176507,0.262337,0.229404,0.89077,0.516779,0.038882,0.000781,0.00008,0.000029,0.565419,0.27935,0.565419,0.27935,0.076177,0.035634,0.199214,0.325026,0.207149,0.405354,0.225078,0.741896,0.024317,0.185096,0.326006,0.333438,0.059469,0.323315,0.43122,0.63397,0.030568,0.201486,0.129092,0.221683,0.088309,0.267864,0.83595,0.70989,0.237689,0.067731,0.970198,0.918387
C2,0.267804,0.277851,0.089095,0.217483,0.394738,0.050173,0.587606,0.34125,0.175477,0.267804,0.274526,0.183595,0.385806,0.163391,0.162681,0.114003,0.151231,0.156872,0.252975,0.177532,0.913039,0.18183,0.050425,0.000605,0.001178,0.00019,0.517517,0.13215,0.517517,0.13215,0.075637,0.213028,0.17787,0.037575,0.013646,0.105178,0.059545,0.264991,0.271363,0.051543,0.247599,0.068212,0.34484,0.125976,0.079676,0.183969,0.067204,0.050303,0.40461,0.235477,0.205028,0.083977,0.773406,0.252395,0.720183,0.190831,0.641867,0.526055
C2,0.371044,0.551953,0.117838,0.32147,0.481673,0.116611,0.882924,0.241253,0.170894,0.371044,0.558213,0.196115,0.673942,0.211489,0.204272,0.128426,0.247008,0.126324,0.240077,0.148787,0.962103,0.407985,0.03166,0.00056,0.000159,0.000026,0.427437,0.236242,0.427437,0.236242,0.070122,0.180379,0.139569,0.048796,0.034521,0.150109,0.099895,0.247243,0.177503,0.081777,0.1182,0.102808,0.157688,0.210745,0.275641,0.259307,0.004982,0.121414,0.255152,0.13941,0.040367,0.208055,0.619391,0.342783,0.885608,0.23942,0.616183,0.796898
C2,0.260977,0.187741,0.15212,0.225339,0.355023,0.213632,0.498169,0.260779,0.248937,0.260977,0.201999,0.248553,0.214216,0.222439,0.170954,0.242146,0.014962,0.156135,0.245991,0.261363,0.810302,0.018781,0.059794,0.00007,0.000157,0.000099,0.468341,0.010721,0.468341,0.010721,0.089481,0.060953,0.202043,1,0.666648,0.580471,0.364416,0.584605,0.04904,0.27466,0.552561,0.380994,0.047129,0.357965,0.525455,0.587018,0.081979,0.249435,0.227023,0.239291,0.082424,0.446192,0.665698,0.670477,0.272347,0.220874,0.929706,0.751614
C2,0.316994,0.294058,0.038157,0.236882,0.481229,0.030593,0.571745,0.3765,0.153952,0.316994,0.265431,0.158338,0.431971,0.161887,0.090957,0.137173,0.200001,0.188723,0.302414,0.12128,0.939372,0.35601,0.064772,0.00152,0.000069,0.000059,0.480789,0.205444,0.480789,0.205444,0.109856,0.203708,0.239427,0.088708,0.054863,0.139879,0.086292,0.350067,0.188701,0.066437,0.263651,0.095214,0.392617,0.148821,0.068577,0.204266,0.048647,0.052623,0.267617,0.197823,0.153902,0,0.761844,0.243727,0.829132,0.183526,0.542614,0.609454
C3,0.165115,0.27934,0.691639,0.036853,0.04135,0.122891,0.372359,0.317212,0.101979,0.165115,0.095819,0.685889,0.183981,0.219538,0.681489,0.351998,0.202277,0.046243,0.164358,0.529717,0.648678,0.280521,0.015737,0.000184,0.000023,0.000027,0.359224,0.195651,0.359224,0.195651,0.057549,0.049826,0.126543,0.705005,0.472843,0.644361,0.362475,0.368877,0.024263,0.155144,0.486463,0.230108,0.034797,0.173168,0.707206,0.259054,0.087878,0.137899,0.259457,0.235594,0.059206,0.413247,0.733234,0.689116,0.331734,0.278905,0.645195,0.25398
C3,0.128432,0.505746,0.26758,0.173552,0.313348,0.211411,0.492021,0.214192,0.11741,0.128432,0.588128,0.274484,0.561036,0.111707,0.413849,0.131364,0.296901,0.044718,0.141254,0.411439,0.6866,0.304095,0.022183,0.000092,0.000017,0.000024,0.440918,0.067665,0.440918,0.067665,0.058154,0.262784,0.104538,0.130468,0.100922,0.189918,0.126885,0.17632,0.257855,0.060551,0.119268,0.155354,0.126274,0.074457,0.242937,0.273159,0.157255,0.057161,0.438409,0.222914,0.193477,0.353815,0.644305,0.264879,0.732226,0.356786,0.240504,0.301076
C3,0.23182,0.25652,0.904295,0.041334,0.026436,0.303983,0.256793,0.466213,0.178021,0.23182,0.047146,0.783646,0.151017,0.311098,0.898196,0.506377,0.569303,0.117449,0.299495,0.684529,0.445748,0.364706,0.055161,0.002667,0.000074,0.000485,0.459565,0.465373,0.459565,0.465373,0.108621,0.230432,0.180436,0.070101,0.056756,0.341454,0.22073,0.090318,0.253265,0.126055,0.20429,0.131666,0.312673,0.187116,0.481823,0.071932,0.137141,0.14056,0.437303,0.301402,0.179699,0.456031,0.654482,0.254066,0.616736,0.364382,0.285822,0.223375
C3,0.130619,0.492538,0.332657,0.111069,0.179297,0.139752,0.447697,0.286156,0.145098,0.130619,0.334188,0.445751,0.419557,0.148229,0.473955,0.176432,0.113119,0.040178,0.129016,0.450763,0.770384,0.014744,0.024456,0.000017,0.00011,0.000029,0.453665,0.011199,0.453665,0.011199,0.036318,0.056002,0.089773,0.554208,0.419514,0.387303,0.249838,0.172008,0.038161,0.116267,0.343393,0.263925,0.057216,0.132171,0.463853,0.5483,0.127049,0.11229,0.254225,0.249879,0.082123,0.541848,0.794389,0.511005,0.321741,0.232484,0.719927,0.163503
C3,0.157152,0.59003,0.119284,0.240616,0.49663,0.320719,0.477138,0.22812,0.159298,0.157152,0.709731,0.181156,0.686349,0.121171,0.169259,0.07448,0.257095,0.050166,0.157631,0.368058,0.626249,0.332402,0.022079,0.000224,0.000051,0.000001,0.429589,0.163252,0.429589,0.163252,0.09425,0.339536,0.15225,0.151873,0.114261,0.280809,0.181033,0.325797,0.280378,0.097982,0.178452,0.236433,0.18478,0.099297,0.200723,0.425199,0.178237,0.074484,0.304628,0.183958,0.219646,0.353756,0.416295,0.442079,0.781553,0.432722,0.297172,0.683716
C3,0.132137,0.426145,0.603189,0.050836,0.070469,0.1533,0.351744,0.432734,0.135948,0.132137,0.141487,0.772143,0.295102,0.192801,0.576581,0.324995,0.254294,0.041137,0.147346,0.588681,0.55062,0.153794,0.021515,0.000157,0.000021,0.000009,0.408166,0.115603,0.408166,0.115603,0.057736,0.205662,0.105736,0.213352,0.146775,0.191028,0.119303,0.054048,0.253773,0.046441,0.312903,0.089114,0.310118,0.057233,0.232647,0.136316,0.203272,0.043096,0.365193,0.727611,0.186789,0.478975,0.614312,0.301846,0.646703,0.436211,0.294307,0.094284
C3,0.119191,0.228285,0.641702,0.013025,0.042483,0.191488,0.304911,0.270574,0.13506,0.119191,0.096137,0.63737,0.15351,0.186416,0.642761,0.335064,0.115191,0.037076,0.138915,0.608194,0.590004,0.252264,0.015619,0.000144,0.00002,0.000008,0.404465,0.16426,0.404465,0.16426,0.056244,0.226538,0.107002,0.220336,0.135059,0.22791,0.145055,0.149571,0.230635,0.058484,0.217562,0.102909,0.090448,0.067702,0.288174,0.085968,0.144399,0.056957,0.507096,0.421378,0.199912,0.508949,0.613385,0.258978,0.799905,0.367101,0.030681,0.379358
C3,0.135914,0.201371,0.584591,0.031965,0.021012,0.186905,0.335687,0.219588,0.159287,0.135914,0.080798,0.663968,0.113452,0.198444,0.593499,0.383298,0.143294,0.04112,0.152763,0.587944,0.577797,0.266386,0.019648,0.000179,0,0.000005,0.371922,0.14361,0.371922,0.14361,0.076671,0.197332,0.128617,0.218977,0.124844,0.28314,0.169411,0.108888,0.162177,0.075183,0.230654,0.110865,0.235288,0.091064,0.489694,0.150915,0.191298,0.078942,0.265241,0.43791,0.194932,0.431568,0.530663,0.414793,0.724573,0.411638,0.159584,0.487184
C3,0.302635,0.663584,0.077964,0.344418,0.789053,0.197452,0.574736,0.424233,0.17227,0.302635,0.842894,0.14481,0.865889,0.183646,0.196606,0.120967,0.393913,0.120755,0.276774,0.216039,0.761335,0.37018,0.034611,0.001226,0.000004,0.000012,0.459795,0.466983,0.459795,0.466983,0.135318,0.183999,0.224127,0.154908,0.134697,0.253744,0.181106,0.371416,0.141152,0.178867,0.332885,0.331033,0.15002,0.263561,0.154056,0.737578,0.06707,0.165672,0.172148,0.369065,0.18264,0.252915,0.601047,0.270412,0.881416,0.266951,0.230922,0.7528
C3,0.104241,0.419611,0.350189,0.105083,0.175206,0.225858,0.33005,0.631606,0.23509,0.104241,0.223767,0.460243,0.368457,0.153828,0.455307,0.210562,0.273278,0.049035,0.158648,0.543458,0.519351,0.014744,0.026353,0.000068,0.000052,0.000011,0.486126,0.041183,0.486126,0.041183,0.065311,0.280298,0.109368,0.260655,0.231065,0.25085,0.167982,0.252983,0.273277,0.06959,0.422173,0.157722,0.170874,0.071486,0.331085,0.289828,0.270865,0.063174,0.509149,0.74037,0.22597,0.471219,0.508542,0.224798,0.702957,0.475223,0.116003,0.355533
C3,0.180338,0.418779,0.557053,0.126833,0.177516,0.306693,0.302607,0.246171,0.173405,0.180338,0.268516,0.572732,0.289014,0.234524,0.64388,0.321236,0.559563,0.124627,0.308283,0.600928,0.512521,0.356009,0.078523,0.001369,0.000058,0.000265,0.55791,0.143655,0.55791,0.143655,0.101039,0.308709,0.16378,0.225859,0.19313,0.341092,0.243953,0.190707,0.270961,0.132767,0.310225,0.199761,0.08482,0.161794,0.347259,0.192032,0.184083,0.128227,0.336826,0.272977,0.231623,0.449588,0.497824,0.16755,0.776544,0.462175,0.089367,0.426302
C3,0.290196,0.591805,0.104205,0.301473,0.603738,0.187802,0.59934,0.404518,0.169214,0.290196,0.763001,0.181528,0.739279,0.173329,0.174411,0.087768,0.421323,0.122794,0.265293,0.248471,0.707552,0.389081,0.040433,0.001261,0.000018,0.000011,0.487853,0.385596,0.487853,0.385596,0.119187,0.189138,0.205804,0.26086,0.187429,0.176814,0.129377,0.248898,0.158871,0.117504,0.230565,0.193149,0.169022,0.21218,0.165329,0.537449,0.140526,0.133208,0.272839,0.351833,0.207525,0.297862,0.533659,0.290413,0.803124,0.390364,0.381817,0.543232
C3,0.139545,0.554133,0.086807,0.184355,0.367655,0.261807,0.596432,0.389942,0.169621,0.139545,0.525068,0.178875,0.623266,0.096848,0.12787,0.076886,0.317895,0.039115,0.159378,0.340943,0.848659,0.308814,0.019475,0.000154,0.000039,0.000075,0.405778,0.130472,0.405778,0.130472,0.040242,0.128475,0.079083,0.12806,0.077667,0.110689,0.067743,0.11726,0.111659,0.036816,0.274564,0.097452,0.15638,0.066798,0.139438,0.265004,0.111655,0.042293,0.218325,0.523498,0.16325,0.309554,0.568743,0.328991,0.913684,0.362995,0.313642,0.534242
C3,0.13468,0.322045,0.603437,0.017628,0.048971,0.122161,0.358315,0.395944,0.11974,0.13468,0.152261,0.674693,0.228037,0.178493,0.596121,0.285364,0.197969,0.043501,0.156438,0.52184,0.671855,0.158458,0.025303,0.00021,0.000019,0.000049,0.41062,0.122191,0.41062,0.122191,0.041242,0.038062,0.09601,0.767188,0.527882,0.469856,0.266155,0.273896,0.022218,0.103585,0.403395,0.190347,0.034249,0.108858,0.672358,0.352804,0.070399,0.095355,0.212065,0.27538,0.037995,0.536423,0.755033,0.599367,0.306914,0.26632,0.657544,0.201982
C3,0.151634,0.277604,0.700144,0.010844,0.032382,0.126257,0.392642,0.302936,0.109596,0.151634,0.084815,0.765126,0.157592,0.180335,0.623653,0.354788,0.218394,0.046157,0.155504,0.59682,0.631182,0.266386,0.016181,0.000188,0.000002,0.000001,0.39747,0.202847,0.39747,0.202847,0.045368,0.045331,0.108882,0.982209,0.580331,0.511853,0.309681,0.33437,0.035487,0.129466,0.419945,0.206449,0.035825,0.136693,0.698088,0.311679,0.052798,0.116688,0.289709,0.3321,0.042556,0.635836,0.757575,0.563258,0.310762,0.256827,0.601028,0.242714
C3,0.204367,0.58707,0.10513,0.305968,0.628001,0.238275,0.687743,0.322315,0.184578,0.204367,0.609454,0.127099,0.680272,0.144466,0.154194,0.078275,0.114395,0.049138,0.17243,0.371287,0.693466,0.247556,0.021244,0.000278,0.000008,0,0.458175,0.221986,0.458175,0.221986,0.054995,0.058004,0.112908,0.613326,0.458223,0.402262,0.291454,0.191469,0.032979,0.166542,0.397687,0.403584,0.03437,0.194794,0.389127,0.599531,0.202419,0.161115,0.21787,0.249776,0.092305,0.54751,0.783497,0.507294,0.341028,0.205778,0.657532,0.396015
C3,0.153384,0.180585,0.678136,0.032696,0.00521,0.259109,0.301845,0.224354,0.149596,0.153384,0.072607,0.7991,0.110986,0.232758,0.647102,0.39465,0.296842,0.055735,0.179452,0.654622,0.517578,0.322963,0.022805,0.00032,0.000046,0.000033,0.417411,0.219307,0.417411,0.219307,0.083525,0.223053,0.139338,0.218345,0.171413,0.384479,0.256924,0.114561,0.19303,0.115315,0.154616,0.174298,0.100843,0.120226,0.451453,0.156779,0.145224,0.100844,0.305074,0.273424,0.171376,0.540455,0.49664,0.274915,0.81442,0.484633,0.000985,0.362531
C3,0.148148,0.421862,0.580602,0.056242,0.134941,0.288461,0.38745,0.704972,0.183117,0.148148,0.187524,0.74397,0.293138,0.191333,0.56605,0.307268,0.409546,0.054175,0.169114,0.605867,0.44925,0.317536,0.025299,0.000168,0.000271,0.00007,0.387736,0.094896,0.387736,0.094896,0.077372,0.224571,0.130983,0.163488,0.112945,0.283713,0.17331,0.117362,0.338298,0.075489,0.178275,0.134836,0.329279,0.092303,0.289106,0.204602,0.104248,0.064725,0.488174,0.24471,0.162003,0.552638,0.523599,0.317987,0.728329,0.502786,0.385697,0.21562
C3,0.154872,0.601009,0.121512,0.271157,0.470922,0.242196,0.472895,0.432941,0.227449,0.154872,0.521701,0.259125,0.663894,0.148074,0.176274,0.091307,0.227026,0.046808,0.148615,0.361047,0.567057,0.21465,0.019344,0.000118,0.000001,0.000001,0.399841,0.100437,0.399841,0.100437,0.098029,0.269164,0.134865,0.374731,0.273251,0.276106,0.196169,0.090653,0.284711,0.102581,0.451391,0.246849,0.278728,0.116359,0.309945,0.610528,0.315035,0.097947,0.398943,0.637223,0.272953,0.522529,0.310068,0.522822,0.624271,0.600593,0.388558,0.515358
C3,0.157751,0.270638,0.639994,0.037947,0.036274,0.206642,0.374734,0.249071,0.115972,0.157751,0.076257,0.723805,0.172033,0.227438,0.671123,0.370635,0.185901,0.042114,0.154655,0.589492,0.710554,0.294661,0.018903,0.000201,0.000249,0.000047,0.367382,0.16878,0.367382,0.16878,0.061563,0.079801,0.13849,0.70213,0.465388,0.706557,0.433054,0.189679,0.05234,0.190801,0.40844,0.319675,0.050088,0.194786,0.624946,0.387794,0.104947,0.159991,0.248923,0.229218,0.128899,0.479098,0.81106,0.55174,0.378294,0.220247,0.621861,0.129493
C3,0.157451,0.2356,0.642647,0.00666,0.004717,0.112154,0.413239,0.28581,0.105034,0.157451,0.079214,0.734275,0.133042,0.194885,0.612014,0.314992,0.150853,0.043827,0.160119,0.569348,0.757396,0.266386,0.018786,0.000238,0.000013,0.000003,0.3909,0.207943,0.3909,0.207943,0.041511,0.045288,0.093092,0.719887,0.468957,0.418537,0.278029,0.241791,0.031678,0.119411,0.208353,0.194868,0.021574,0.15103,0.649302,0.332434,0.11904,0.138442,0.311693,0.167657,0.068411,0.585816,0.684312,0.570815,0.359329,0.32254,0.506196,0.277843
C3,0.115489,0.39212,0.382282,0.053853,0.097277,0.226199,0.343003,0.329126,0.120848,0.115489,0.142079,0.585637,0.327716,0.144498,0.426482,0.218908,0.248232,0.040212,0.126247,0.510655,0.683395,0.318245,0.026324,0.000068,0.000271,0.000051,0.384578,0.035986,0.384578,0.035986,0.053072,0.190688,0.090952,0.151102,0.099568,0.178984,0.106001,0.098155,0.25861,0.047352,0.327908,0.091486,0.239455,0.070029,0.277889,0.25416,0.172015,0.051373,0.423317,0.437054,0.194798,0.443972,0.545212,0.377675,0.700816,0.468939,0.354861,0.254328
C3,0.168263,0.529104,0.083705,0.259188,0.433976,0.174698,0.528831,0.141413,0.133778,0.168263,0.713705,0.118405,0.652244,0.130729,0.16792,0.053395,0.175305,0.043107,0.143863,0.204907,0.810756,0.289946,0.018294,0.000164,0.000037,0.000027,0.361455,0.143082,0.361455,0.143082,0.06859,0.063921,0.143769,0.709806,0.517964,0.506442,0.331872,0.198928,0.0503,0.184775,0.476041,0.507289,0.05668,0.207165,0.44776,0.750638,0.134436,0.159977,0.322496,0.271608,0.127139,0.470982,0.77767,0.553609,0.400244,0.212174,0.688881,0.389737
C3,0.142137,0.153338,0.627628,0.05393,0.037837,0.192363,0.316077,0.243197,0.163678,0.142137,0.039255,0.733843,0.076875,0.210949,0.597039,0.438566,0.212502,0.045626,0.170455,0.619016,0.685815,0.266386,0.020815,0.000287,0.000037,0.000011,0.392914,0.217479,0.392914,0.217479,0.073221,0.190062,0.120654,0.245926,0.183749,0.42641,0.277392,0.084185,0.152877,0.122816,0.299156,0.192328,0.127361,0.124247,0.436144,0.215909,0.066981,0.111164,0.292788,0.412924,0.163581,0.532342,0.538705,0.269917,0.891406,0.416458,0.084346,0.449639
C3,0.149311,0.197814,0.637375,0.06427,0.036976,0.174399,0.32187,0.188842,0.153851,0.149311,0.072544,0.752758,0.106843,0.215425,0.600454,0.434433,0.216107,0.045009,0.157048,0.60155,0.688928,0.238148,0.021583,0.000276,0.000058,0.00003,0.388628,0.197534,0.388628,0.197534,0.075265,0.196295,0.116453,0.217533,0.159903,0.395385,0.262455,0.092002,0.127652,0.119126,0.269113,0.190906,0.084955,0.130118,0.463145,0.262577,0.090302,0.121781,0.219588,0.412934,0.180872,0.564115,0.479238,0.316047,0.882285,0.455162,0.006414,0.495194
C3,0.204699,0.586477,0.104428,0.306273,0.628625,0.237748,0.685212,0.322689,0.183771,0.204699,0.61081,0.126904,0.680419,0.146,0.153829,0.079095,0.113835,0.049087,0.17243,0.372059,0.693885,0.247556,0.021246,0.000277,0.000008,0,0.45798,0.221716,0.45798,0.221716,0.054949,0.058004,0.112969,0.613326,0.458223,0.402262,0.291454,0.19101,0.032979,0.166542,0.397687,0.403584,0.03437,0.194794,0.389127,0.599531,0.202419,0.161115,0.21787,0.249776,0.092305,0.54751,0.784484,0.507294,0.341028,0.204564,0.657532,0.397859
C3,0.161094,0.457168,0.347465,0.201848,0.252152,0.195803,0.512638,0.35852,0.242301,0.161094,0.294795,0.427021,0.366344,0.222656,0.453855,0.267457,0.32034,0.050338,0.163415,0.501267,0.67091,0.031185,0.031874,0.000064,0.000715,0.000034,0.456303,0.027758,0.456303,0.027758,0.059205,0.054002,0.11027,0.421173,0.353774,0.529944,0.356937,0.123734,0.022073,0.17714,0.500742,0.350312,0.028083,0.188234,0.558601,0.416816,0.210914,0.17528,0.199552,0.313636,0.099624,0.574424,0.699195,0.48037,0.369213,0.33034,0.59965,0.164884
C3,0.161094,0.457168,0.347465,0.201848,0.252152,0.195803,0.512638,0.35852,0.242301,0.161094,0.294795,0.427021,0.366344,0.222656,0.453855,0.267457,0.32034,0.050338,0.163415,0.501267,0.67091,0.031185,0.031874,0.000064,0.000715,0.000034,0.456303,0.027758,0.456303,0.027758,0.059205,0.054002,0.11027,0.421173,0.353774,0.529944,0.356937,0.123734,0.022073,0.17714,0.500742,0.350312,0.028083,0.188234,0.558601,0.416816,0.210914,0.17528,0.199552,0.313636,0.099624,0.574424,0.699195,0.48037,0.369213,0.33034,0.59965,0.164884
C3,0.250338,0.538942,0.287431,0.184103,0.316608,0.262453,0.631493,0.424599,0.259785,0.250338,0.486239,0.369124,0.525209,0.194588,0.409059,0.175624,0.129617,0.128517,0.294306,0.421308,0.623191,0.014744,0.090467,0.000432,0.000215,0.000347,0.586341,0.036171,0.586341,0.036171,0.067216,0.049554,0.147301,0.515911,0.358571,0.439617,0.288068,0.13041,0.031117,0.186931,0.642712,0.310259,0.02699,0.25594,0.402039,0.394528,0.127578,0.203336,0.191046,0.383717,0.034558,0.50564,0.761491,0.520596,0.24627,0.265888,0.751831,0.165038
C3,0.17647,0.370206,0.666571,0.112667,0.118531,0.36855,0.421091,0.311583,0.210657,0.17647,0.14988,0.836269,0.245103,0.269464,0.632061,0.457159,0.457229,0.048916,0.159168,0.797167,0.416781,0.304092,0.017775,0.000219,0.00006,0.000029,0.437111,0.218534,0.437111,0.218534,0.07207,0.064227,0.126193,0.444949,0.379,0.71532,0.513099,0.404338,0.036633,0.209166,0.671665,0.412116,0.022462,0.163478,0.643432,0.305616,0.036585,0.157529,0.179086,0.380027,0.045097,0.551159,0.521687,0.351946,0.607585,0.433208,0.321829,0.446383
